11-diethoxyethane|ناتا یسکوتا ید1
2-propanone|نوناپورپ
2-propenal|لانپورپ
3d|یدعب هس
3d|دید یامن رد یایشا یارب دعب هس
3d|دشاب‌یم قمع دعب نیموس و لوط و ضرع دعب نیمود و نیلوا
8-quinolinol|لونیلونیک
a|کی هجرد
a|ددع کی کی
a|ردیر یاکسا
a|ا یامیپاوه
a|دح نیرتالاب
a|تدحو ای هرکن یای ی
a|دوشیم هب لیدبت دنوشیم زاغآ رادادص فرح اب هک ییاههژاو زا شیپ 0 کی ره ره
a|فلا یهرمن
a|تبثم هفاضا فرح
a|C روژام ال ماگ رد مشش تن یقیسوم
a|ملاس قاربق هکرعم لاحرس یلاع کی یهجرد
a|یب
a|ان
a|دنوشیپ
a|نورد هب رد
a|لوغشم لاح رد
a|یبا دقاف نودب
a|رویراو یاکسا ای
a|کواه یاکسا ای
a|تنالیج یو ای
a|ردورتنیا ای
a|یا
a|هب
a|رد
a|ره
a|کی
a|دوش
a|رتم
a|نوچ
a|نورد
a|هتسد
a|قیاع
a|هورگ
a|قاربق
a|لوغشم
a|کی ره
a|یا 000
a|لاح رد
a|ددع کی
a|ودا قفا
a|هسا قفا
a|کیا قفا
a|رتمیتناس
a|فلا هرمن
a|هکنانچمه
a|هکیماگنه
a|رتمتناس 1
a|رتم ورکیم
a|ناوت هب 01
a|آ ینوخ هورگ
a|تسا زاف تباث
a|لماش یاه‌هژاو
a|رتمورکیم 87 و 4
a|تسا رتمورکیم 87
a|نیتال فرح نیلوا
a|ناوت هب 01 × 739
a|فلا هرمن روژام c
a|a تبثم هفاضا فرح
a|لوط دحاو کی مورتسگنآ
a|یسیلگنا یابفلا لوا فرح
a|هدزناش یانبم رد 01 مقر
a|ناوت هب 01 یا 1 نینچمه
a|لا ماگ رد مشش تن یقیسوم
a|یسیلگنا یابفلا لوا فرح a
a|یسیلگنا یابفلا فرح نیلوا
a|یسیلگنا یابفلا زا لوا فرح
a|یسیلگنا یابفلا فرح نیتسخن
a|یقیسوم C روژام ال ماگ رد مشش تن
a|یانبم رد 1 ربارب 61 یانبم رد ددع
