11-diethoxyethane|1دی اتوکسی اتان
2-propanone|پروپانون
2-propenal|پروپنال
3d|سه بعدی
8-quinolinol|کینولینول
a|درجه یک
a / b signaling|بی
a / c|حساب جاری
a / m|آمپر برمتر واحد شدت مسدان مغناطیسی در سیستم اس آی
a / o or a / o|اقتصاد به حساب دروجه
a / ux|ای
a 4 years|چهار ساله
a 6 seater|گردونه شش نفره
a acean|اقیانوس منجمد جنوبی
a acid|جوهر سر که
a acid, the acid|جوهر سرکه
a act, the act|قانون اقامت بیگانگان
a ammoniae|امونیاک
a an any one each either whichever|هر یک
a an mono-one same single uni-unit|یک
a and a|مکرر
a and b|اوبی
a and b priint|نسخه A و B
a and b printing|چاپ A و B
a and b rolling|حلقه بندی A و B
a and b rolls|حلقه‌های AB
a and b winding|فیلم پیچی AB
a and principal|وکیل وموکل
a australis|شفق جنوبی
a axis|محور a
a bad workman always blames his tools|منبع
a ball is round|توپ گرد یا کروی است
a banking perspective|از دیدگاه بانک
a bawling out|خطابه گفتن
a behavioral approach|رویکرد
a big head has a big ache|سر بزرگ درد زیادی هم دارد
a big wheel|شخص با قدرت
a bit|قدری
a bit much|کمی بیشتر
a blank line|یک خط خالی
a block from here-four doors from here|ساختمان بعد از این چهار در بعد از این –
a boat, the boat|کشتی خبرگزار
a bomb|بمب اتمی‌
a bon marche|فرانسه به قیمت خوب ارزان مناسب
a book|یک کتاب
a borealis|نوریافجرشمالی
a bountiful|بخشنده کل
a bout it|آرام
a bout one's ear's|پشت گوش کسی
a bove named|نام برده در بالا
a bove par|باصرف
a bove price|بی قیمت
a bove two hundred|بیش از
a box on the ear|سیلی
a bunch of keys|یک دسته کلید
a bundle of nerves|آدم عصبانی
a bundle of papers|یک مشت کاغذ
a canal, the canal|لوله هاضمه
a cappella|آواز بدون همراهی موسیقی
a capriccio|موسیقی
a cat, the cat|گربه براق
a cat has nine lives|منبع
a chain|زنجیره A
a change for the worse|تبدیل به بدتر
a chemical preparation|یک ترکیب شیمیایی
a chemical process|یک عمل شیمیایی
a cheque for the sum of|چکی به مبلغ
a cheval|دو دوزه بازی کردن از هر دو طرف حمایت کردن
a chip on your shoulder|عصبانی بودن بخاطر چیزی که قبلا اتفاق افتاده
a choice|حق اختیاریکی ازدوشق
a choice, the choice|تخیر
a circle, the circle|مدارقطب شمال
a claim on someone|ادعا بر علیه کسی
a clean shave|اصلاح تمیز
a clear conscience fears no accusation|منبع
a cock and bull story|عذر بدتر از گناه
a coffee mill|قهوه سا
a cold day in hell|وقت گل نی
a copy is missing|یک نسخه اش نیست
a corporate bond interest rate|نرخ بهره اوراق قرضه شرکتهای معتبر
a council, the council|شورای جنگی دولت اطریش
a couvert|فرانسه پنهان ایمن
a cow without horns and tail|منبع
a crack jaw word|کلمه ایی که تلفظ ان مشکل باشد
a cross b|a ضرب در b
a cting|بازیگری در نمایش
a cup of coffee|یک فنجان قهوه لطف ا
a cup of tea|یک فنجان چای
a current|حساب جاری
a current current a|حساب جاری
a cut above|یک درجه یا مرحله بالاتر
a cygnus a|دجاجه
a daredevil|جسور
a day after the fair|دیر
a day's grace|یک روز مهلت
a dead heat|مشاجره یا مسابقه ای که برنده نداشته باشد
a dealer in specialties|فروشنده کالاهای ویژه یا داروهای اختصاصی
a deceased|مورث
a deep reader|خرخوان
a deep shelf|طاقچه پهن یا تودار
a deep sigh|اه سرد
a deep thinker|شخص فکور
a deep well|چاه گود
a dential made|انکار بعد از اقرار مسموع نیست
a descriptive approach|رویکرد
a desire|اشتیاق
a deux|فرانسه
a dime a dozen|چیزی که ارزان و راحت بدست بیاید
a director|معاون
a discertionary opinion in breach|استسحان
a display|که ناینده مبنای زمانی است
a division of the quran|حزب
a does of physic|یک خوراک مسهل
a dog fox|روباه باز
a dog will not recognize its owne|سگ صاحبش را نمی‌شناسد
a dozen|12 عدد
a dozen of arrows|چندین تیر که باهم اندازند
